,ARS,BL_name,ADE2,ADE3,ADE2_LAND,ADE2_LAND,ADE3_REG_BEZ,ADE3_REG_BEZ,ADE4_KREIS,ADE4_KREIS,ADE5_VERB_GEM,ADE5_VERB_GEM,ADE6_GEMEINDE,ADE6_GEMEINDE,EF1_Satzart,Fläche in ha,Fläche in ha,Fläche in ha,"Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, männlich","Bevölkerung, männlich","Bevölkerung, männlich",Neue Postleitzahl,Neue Postleitzahl,Finanzamtsbezirk,Finanzamtsbezirk,Gerichtsbarkeit,Gerichtsbarkeit,Arbeitsagenturbezirk,Arbeitsagenturbezirk,Bundestagswahlkreise,Bundestagswahlkreise
,,,,,mean,count,mean,count,mean,count,mean,count,mean,count,count,sum,median,mean,sum,median,mean,sum,median,mean,nunique,unique,nunique,unique,nunique,unique,nunique,unique,nunique,unique
9,055000000000,Nordrhein-Westfalen,05,5,5.0,78,5.0,78,60.38,78,33.77,78,33.77,78,78,691832,7907.5,8869.64,2678417,18639.5,34338.68,1319687,9344.0,16919.06,78,"['46236*****' '45879*****' '48143*****' '48683     ' '46395*****'
 '46325     ' '48712     ' '48599     ' '48619     ' '46359     '
 '46419     ' '48739     ' '46348     ' '48734     ' '46414     '
 '48624     ' '48703     ' '46354     ' '46342     ' '48691     '
 '59387     ' '48727     ' '48653     ' '48249     ' '48329     '
 '59348     ' '59394     ' '48301     ' '59399     ' '48720     '
 '48308     ' '44575*****' '45711     ' '46284*****' '45964*****'
 '45721     ' '45699*****' '45772*****' '45739     ' '45657*****'
 '45731     ' '48341     ' '48282     ' '48268     ' '48477     '
 '48496     ' '48612     ' '49477*****' '49549     ' '48366     '
 '49525     ' '49536     ' '49504     ' '48629     ' '49497     '
 '48485     ' '48356     ' '48607     ' '49509     ' '48431*****'
 '48369     ' '48565     ' '49545     ' '49492     ' '48493     '
 '59227*****' '59269     ' '48361     ' '48317     ' '59320     '
 '48351     ' '59302     ' '48346     ' '48336     ' '48324     '
 '48291     ' '59329     ' '48231     ']",13,[5308 5318 5336 5301 5307 5333 5312 5340 5359 5311 5327 5304 5346],22,"[45113 45173 47243 47113 47143 47153 47193 47233 47173 47183 44113 42143
 45123 45193 45223 47163 47263 47223 47273 47123 47133 47293]",26,"[45051 45011 67011 27051 27091 27131 27211 27251 27011 27171 75031 75051
 75091 75191 75011 75131 75171 77051 77091 77111 77011 77131 77171 67031
 67051 67071]",10,[24 22 28 23 25 26 20 21 27 29]
10,057000000000,Nordrhein-Westfalen,05,7,5.0,70,7.0,70,63.16,70,25.6,70,25.6,70,70,652525,7949.5,9321.79,2087744,17085.5,29824.91,1030834,8429.5,14726.2,70,"['33602*****' '33829     ' '33330*****' '33790     ' '33428     '
 '33442     ' '33449     ' '33378     ' '33397     ' '33758     '
 '33803     ' '33415     ' '33775     ' '33824     ' '32257     '
 '32130     ' '32052*****' '32120     ' '32278     ' '32584     '
 '32289     ' '32139     ' '32602     ' '33014     ' '37688     '
 '34434     ' '33034     ' '37671     ' '37696     ' '33039     '
 '32839     ' '34414     ' '34439     ' '32832     ' '32105*****'
 '32683     ' '32825     ' '32756*****' '32694     ' '32699     '
 '32805     ' '32689     ' '32791     ' '32657     ' '33818     '
 '32676     ' '33813     ' '32816     ' '33189     ' '32545*****'
 '32339     ' '32479     ' '32609     ' '32312     ' '32423*****'
 '32469     ' '32457     ' '32361     ' '32369     ' '32351     '
 '33184     ' '33175     ' '33178     ' '33142     ' '33129     '
 '33161     ' '33165     ' '33104*****' '33154     ' '33181     ']",13,[5305 5351 5347 5349 5310 5324 5326 5345 5313 5329 5335 5331 5339],18,"[41123 41153 41143 41243 41133 41163 41113 48123 48173 48243 43143 43183
 43133 41213 41183 41173 48193 48143]",14,"[17011 17051 53091 53011 53051 73091 73131 31011 31031 31051 31171 53131
 53171 73011]",7,[31 30 35 32 34 33 36]
11,059000000000,Nordrhein-Westfalen,05,9,5.0,83,9.0,83,63.0,83,23.95,83,23.95,83,83,801240,7635.0,9653.49,3603380,20653.0,43414.22,1774328,10235.0,21377.45,83,"['44787*****' '44135*****' '58095*****' '59065*****' '44623*****'
 '58339     ' '58256     ' '58285     ' '45525*****' '58313     '
 '58332     ' '45549     ' '58300     ' '58452*****' '59759*****'
 '59909     ' '59929     ' '59889     ' '59969     ' '34431     '
 '59964     ' '59872     ' '59939     ' '57392     ' '59846     '
 '59955     ' '58762     ' '58802     ' '58553     ' '58675     '
 '58849     ' '58636*****' '58566     ' '58507*****' '58540     '
 '58706*****' '58769     ' '58809     ' '58840     ' '58579     '
 '58791     ' '57439     ' '57489     ' '57413     ' '57399     '
 '57368     ' '57462     ' '57482     ' '57319     ' '57299     '
 '57339     ' '57258     ' '57271     ' '57223     ' '57334     '
 '57250     ' '57290     ' '57072*****' '57234     ' '59609     '
 '59505     ' '59469     ' '59597     ' '59590     ' '59510     '
 '59555*****' '59519     ' '59602     ' '59494     ' '59581     '
 '59514     ' '59457     ' '58739     ' '59192     ' '59199     '
 '58730     ' '59439     ' '59174     ' '44532*****' '58239     '
 '59379     ' '59423*****' '59368     ']",20,"[5306 5314 5321 5322 5325 5341 5323 5348 5303 5334 5309 5302 5328 5332
 5338 5342 5330 5343 5316 5333]",33,"[42113 44123 46123 44143 42133 46183 45213 46213 42173 40113 40193 40143
 40173 40163 40253 46113 40183 46153 46143 46173 46163 49183 49163 49123
 49193 48183 40223 40243 40233 44153 44173 44163 46193]",29,"[21011 33011 47011 51011 21051 47131 47211 83331 83271 83291 83311 83351
 83371 55371 55251 55211 55011 81091 81051 81071 81011 83091 83011 83251
 83211 51091 51131 51151 51171]",12,[39140 41142    37    44    40    38    46    49    48    47    45    43]
12,064000000000,Hessen,06,4,6.0,186,4.0,186,34.87,186,109.16,186,12.39,186,186,744427,3085.0,4002.3,4110302,11227.0,22098.4,2027349,5500.0,10899.73,184,"['64283*****' '60311*****' '63065*****' '65183*****' '69518     '
 '64625     ' '68647     ' '69488     ' '68642     ' '64683     '
 '64658*****' '69517     ' '64689     ' '68649     ' '64646     '
 '69434*****' '68623     ' '64686     ' '64678*****' '64653     '
 '69509     ' '69239     ' '64668     ' '68519     ' '69483     '
 '64673     ' '          ' '64665     ' '64832     ' '64404     '
 '64807     ' '64859     ' '64390     ' '64405     ' '64347     '
 '64401*****' '64823     ' '64846     ' '64409     ' '64397     '
 '64367     ' '64839     ' '64372     ' '64853     ' '64319     '
 '64354*****' '64380     ' '64850     ' '64342     ' '64331     '
 '64584     ' '65474     ' '64572     ' '64579     ' '65462     '
 '64521     ' '65451     ' '64546     ' '64569     ' '65479     '
 '64560     ' '65428     ' '64589     ' '65468     ' '61343*****'
 '61381     ' '61479*****' '61279     ' '61462     ' '61476     '
 '61267     ' '61440     ' '61389     ' '61449     ' '61250     '
 '61273     ' '61276     ' '63619     ' '63628     ' '63599     '
 '63633*****' '63636     ' '63486     ' '63526*****' '63639     '
 '63579*****' '63571*****' '63538     ' '63584     ' '63546     '
 '63450*****' '63594     ' '63637     ' '63505     ' '63589     '
 '63477     ' '63543     ' '61130     ' '61138     ' '63517     '
 '63549     ' '36381     ' '61137     ' '36391     ' '36396     '
 '63607     ' '65812     ' '65817     ' '65760     ' '65439     '
 '65795     ' '65239     ' '65719     ' '65779     ' '65830     '
 '65835     ' '65824     ' '65843     ' '64732     ' '64395     '
 '64747     ' '64753     ' '64711*****' '64407     ' '64739     '
 '64750     ' '64720*****' '64756     ' '64385*****' '64760     '
 '63128     ' '63303     ' '63329     ' '63512     ' '63150     '
 '63225     ' '63533     ' '63165     ' '63263     ' '63179     '
 '63110     ' '63322     ' '63500     ' '65326     ' '65307     '
 '65343*****' '65366*****' '65321     ' '65329     ' '65510     '
 '65399     ' '65391     ' '65527     ' '65375     ' '65385     '
 '65388     ' '65232     ' '65529     ' '65396     ' '63674     '
 '61231     ' '61118     ' '63654     ' '35510     ' '61209*****'
 '61197     ' '61169     ' '63688     ' '63695     ' '63697     '
 '61184     ' '63699     ' '63694     ' '35516     ' '63667     '
 '61194*****' '61239     ' '63683     ' '63691     ' '61203     '
 '35519     ' '61191     ' '61200*****' '61206     ']",18,"[2607 2612 2635 2643 2605 2633 2608 2621 2603 2619 2622 2646 2628 2644
 2604 2637 2634 2616]",24,"[11034 12014 11144 19064 11054 11024 11114  1105 11044 11064 11074 12024
 12034 15014 15024  1501 11134 11124 11174 19054 19044 19034 14024 14054]",23,"[15011 19011 51011 59011 15051 15251 15131     1 15091 33071 33051 33011
 31091 31011 33031 51051 51111 51091 59211 59091 27091 27171 27271]",13,"[   85 81182    84    78    87    86    83    75    80    74    79    77
    76]"
13,065000000000,Hessen,06,5,6.0,101,5.0,101,33.01,101,10.69,101,10.69,101,101,538058,4499.0,5327.31,1071679,7906.0,10610.68,529175,3897.0,5239.36,101,"['35469     ' '35444     ' '35418     ' '35463     ' '35390*****'
 '35305     ' '35452     ' '35410     ' '35428     ' '35321     '
 '35423     ' '35440     ' '35457     ' '35415     ' '35466     '
 '35447     ' '35460     ' '35435     ' '35614*****' '35649     '
 '35619     ' '35767     ' '35716     ' '35683*****' '35759     '
 '35630     ' '35713     ' '35753     ' '35708     ' '35745     '
 '35644     ' '35625     ' '35633     ' '35638     ' '35756     '
 '35641     ' '35768     ' '35764     ' '35606     ' '35647     '
 '35578*****' '65614     ' '65611     ' '65520     ' '65599     '
 '65627     ' '65604     ' '65589     ' '65597     ' '65549*****'
 '35792     ' '35794     ' '35799     ' '65594     ' '65618     '
 '65606     ' '65620     ' '35781     ' '35789     ' '35796     '
 '35287     ' '35719     ' '35080     ' '35216     ' '35236     '
 '35091     ' '35232     ' '35085     ' '35112     ' '35075     '
 '35274     ' '35094     ' '35102     ' '35037*****' '35117     '
 '35279     ' '35282     ' '35260     ' '35239     ' '35096     '
 '35083     ' '35288     ' '36304     ' '36326     ' '36325     '
 '36399     ' '35329     ' '36323     ' '36355     ' '36358     '
 '35315     ' '36320*****' '36341     ' '36369     ' '35325     '
 '36329     ' '36110     ' '63679     ' '36318*****' '35327     '
 '36367     ']",9,[2620 2639 2609 2638 2630 2631 2606 2601 2629],10,[14064 17104 17024 17094 17064 18074 18014 18094 14014 14024],8,[27011 43071 43031 43011 47051 47111 47011 27251],7,[72 71 75 77 70 73 74]
14,066000000000,Hessen,06,6,6.0,138,6.0,138,33.23,138,145.4,138,14.96,138,138,829083,5546.5,6007.85,1238748,5333.0,8976.43,614315,2647.0,4451.56,135,"['34117*****' '36364     ' '36151*****' '36160     ' '36157     '
 '36115     ' '36124     ' '36132     ' '36103     ' '36037*****'
 '36129     ' '36137     ' '36145     ' '36154     ' '36088     '
 '36148     ' '36093     ' '36119*****' '36167     ' '36100     '
 '36163     ' '36169     ' '36142     ' '36211     ' '36251     '
 '36179     ' '36287     ' '36219     ' '36289     ' '36282     '
 '36166     ' '36266     ' '36284     ' '36275     ' '36214*****'
 '36286     ' '36272     ' '36269     ' '36217     ' '36199     '
 '36277     ' '36208     ' '34292*****' '34385     ' '34225     '
 '34479     ' '34379     ' '34308     ' '34314     ' '34277     '
 '34233*****' '34393     ' '34317     ' '34298     ' '34369     '
 '34376     ' '34260     ' '34396     ' '34253     ' '34311     '
 '34329     ' '34266     ' '34359     ' '34270     ' '34320     '
 '34388     ' '34246     ' '34466     ' '34289     ' '34399     '
 '          ' '34582     ' '34295*****' '34587     ' '34621     '
 '34560     ' '34630     ' '34281*****' '34302     ' '34576     '
 '34632     ' '34593     ' '34327     ' '34323     ' '34212     '
 '34326     ' '34599     ' '34626     ' '34305     ' '36280     '
 '34633     ' '34637     ' '34613     ' '34639     ' '34286     '
 '34590*****' '34628     ' '34596     ' '35108     ' '34454     '
 '34537     ' '35088     ' '35099     ' '34519     ' '34474     '
 '34549     ' '35110     ' '35066     ' '35285     ' '35114     '
 '35116     ' '34497*****' '35104     ' '35119     ' '34477     '
 '34516     ' '34471     ' '34513*****' '34508     ' '37242     '
 '37297     ' '37269     ' '37247     ' '37293     ' '37235     '
 '37276     ' '37290     ' '37249     ' '37296     ' '36205     '
 '37284     ' '37281     ' '37287     ' '37299     ' '37213*****']",13,[2626 2618 2636 2602 2625 2623 2624 2632 2642 2611 2627 2641 2610],12,[16074 13014 13074 13054  1607 16034 16094 18124 18034 16084 16024  1602],14,"[35011 11111 11011 35091 35211     1 39151 39171 39191 39091 39131 39011
 35171 35231]",5,[67 73 68 66 69]
15,070000000000,Rheinland-Pfalz,07,0,7.0,1,0.0,1,0.0,1,9999.0,1,999.0,1,1,620,620.0,620.0,0,0.0,0.0,0,0.0,0.0,1,[''],1,[0],1,[0],1,[0],1,[0]
16,071000000000,Rheinland-Pfalz,07,1,7.0,1111,1.0,1111,37.16,1111,4948.32,1111,94.57,1111,1111,807483,500.0,726.81,1527257,513.0,1374.67,755252,258.0,679.79,260,"['56068*****' '53518     ' '53506*****' '53505     ' '53533*****'
 '53498     ' '53474     ' '53534*****' '56656*****' '53520*****'
 '53426*****' '53507*****' '53508*****' '56651     ' '53424     '
 '53489     ' '53501     ' '56659*****' '56653*****' '56746*****'
 '56745*****' '57610     ' '57518     ' '57632*****' '57589*****'
 '57587*****' '57612*****' '57539*****' '57537     ' '57555*****'
 '56593*****' '57567     ' '57520*****' '57580*****' '57578*****'
 '57635*****' '57614*****' '57537*****' '51598*****' '57577     '
 '57572*****' '57562*****' '57610*****' '57548*****' '57629*****'
 '57636*****' '57583*****' '56472*****' '57581*****' '57641*****'
 '57584*****' '57638*****' '57586*****' '56594*****' '55568*****'
 '55595*****' '55585*****' '55569*****' '55545*****' '55758*****'
 '55606*****' '55608*****' '67827*****' '55546*****' '55606     '
 '55592*****' '55559*****' '67829*****' '55566     ' '55442*****'
 '55444*****' '55452*****' '67824*****' '67826*****' '55619*****'
 '55621*****' '55450     ' '67823*****' '67744*****' '55627*****'
 '55590*****' '55596*****' '55571*****' '55576*****' '55629*****'
 '55618*****' '55593     ' '55767*****' '55774     ' '55776*****'
 '55777*****' '55765     ' '54422*****' '55624*****' '55626*****'
 '55743*****' '55779*****' '55756     ' '55768*****' '55483*****'
 '55743     ' '56859*****' '56828*****' '56858*****' '56766     '
 '56814*****' '56825*****' '56754*****' '56865*****' '56761*****'
 '56867*****' '56829*****' '56820*****' '56823*****' '56812     '
 '56821*****' '56759     ' '56818*****' '56290*****' '56826*****'
 '56254*****' '56862*****' '56253*****' '56856*****' '56864*****'
 '56729*****' '56626     ' '56751     ' '56294*****' '56295*****'
 '56736*****' '56630*****' '56642*****' '56727*****' '56743     '
 '56753*****' '56645*****' '56299*****' '56637     ' '56751*****'
 '56727     ' '56648*****' '56332*****' '56220*****' '56170     '
 '56321*****' '56330     ' '56218*****' '56179     ' '56283*****'
 '56322*****' '56182*****' '56179*****' '56323*****' '56575     '
 '56191*****' '56333*****' '56584*****' '53567     ' '53557*****'
 '56579     ' '53547*****' '53572     ' '56589*****' '56307*****'
 '56269*****' '56305     ' '56581*****' '53579*****' '56276*****'
 '56598*****' '56316*****' '56271*****' '56599*****' '56317*****'
 '53545*****' '53577*****' '56564*****' '57639*****' '56587*****'
 '53545     ' '53619*****' '53562*****' '53560*****' '56588*****'
 '53578*****' '56269     ' '56288     ' '55469     ' '55496*****'
 '56291*****' '55494*****' '55471*****' '56288*****' '55491*****'
 '55432*****' '55487*****' '55481     ' '56281     ' '55497*****'
 '55490*****' '56850*****' '55430*****' '55499*****' '56329*****'
 '56869*****' '56154     ' '56370*****' '65624*****' '56357*****'
 '65582     ' '56130*****' '56132*****' '56368     ' '56355     '
 '65626*****' '56348*****' '65558*****' '56379*****' '56340*****'
 '56133*****' '56341*****' '65623*****' '56349*****' '56112*****'
 '56346     ' '56377*****' '65629*****' '56368*****' '65391*****'
 '56337*****' '56338*****' '56237*****' '56424*****' '56412*****'
 '56428*****' '56414     ' '56242     ' '56244*****' '56249*****'
 '56206*****' '56204*****' '56203     ' '56235     ' '56410     '
 '56335*****' '56427*****' '56422     ' '56459*****' '57642*****'
 '57627     ' '56470     ' '57648*****' '56479*****' '57647*****'
 '56457     ' '57644*****' '56462*****' '57645*****' '56477     ']",9,[2722 2701 2702 2706 2709 2740 2729 2732 2730],19,"[22105 22045 22185 22025 22055 21065 21015 21035 22075 22135 22035 22155
 22125 21055 22165 22085 22115 22145 22195]",25,"[19011 19191 19231 47051 47091 11172 11012 11132 19131 19251 19271 47011
 47131 11211 11231 35092 35052 35251 35051 35252 35211 35172 35012 35292
 35132]",6,[98 97 96  0 99  3]
17,072000000000,Rheinland-Pfalz,07,2,7.0,555,2.0,555,32.53,555,4970.32,555,121.71,555,555,492575,617.0,887.52,547981,348.0,987.35,273863,176.0,493.45,118,"['54290*****' '54518*****' '54538*****' '54426*****' '54470*****'
 '54533*****' '54472*****' '56843*****' '54424     ' '54411*****'
 '54523*****' '54531*****' '56850*****' '54492*****' '54516*****'
 '54470     ' '54534*****' '54497*****' '54524*****' '54483*****'
 '54536*****' '54484*****' '54486*****' '54347*****' '54498*****'
 '56861*****' '54528*****' '56841     ' '54539*****' '54487*****'
 '54516     ' '54497     ' '54526*****' '54689*****' '54668*****'
 '54636*****' '54675*****' '54673     ' '54664*****' '54657*****'
 '54662     ' '54673*****' '54646*****' '54634     ' '54669*****'
 '54647*****' '54655*****' '54666*****' '54310*****' '54687     '
 '54597*****' '54608*****' '54610*****' '54649*****' '54614*****'
 '54298*****' '54619*****' '54595     ' '54617*****' '54612*****'
 '54529*****' '54616*****' '54578*****' '54552*****' '54570*****'
 '54587*****' '54576*****' '54585*****' '54584*****' '54568     '
 '54558*****' '54579*****' '56769*****' '56766*****' '54574*****'
 '53539     ' '53520*****' '56767*****' '54611*****' '54589*****'
 '56729*****' '54586*****' '54550     ' '54441*****' '54314*****'
 '54340*****' '54413*****' '54316*****' '54317*****' '54341*****'
 '54439     ' '54343*****' '54450*****' '54429*****' '54411     '
 '54421*****' '54451*****' '54427*****' '54344*****' '54329     '
 '54306*****' '54308*****' '54338     ' '54346*****' '54318*****'
 '54422*****' '54309*****' '54453*****' '54331*****' '54456*****'
 '54455*****' '54311*****' '54320     ' '54332*****' '54459*****'
 '54457*****' '54313*****' '54349*****']",3,[2742 2743 2710],8,[24075 24085 24045 24015 24025 24055 24035 24065],7,[63012 63372 63051 63092 63292 63172 63332],3,[ 2  1 99]
18,073000000000,Rheinland-Pfalz,07,3,7.0,635,3.0,635,35.3,635,4817.43,635,52.91,635,635,685109,692.0,1078.91,2099073,895.0,3305.63,1037066,452.0,1633.17,267,"['67227     ' '67657*****' '76829*****' '67059*****' '55116*****'
 '67433*****' '66953*****' '67346     ' '67547*****' '66482     '
 '55234*****' '67577*****' '55232     ' '55288*****' '67595*****'
 '67593*****' '55237*****' '67596*****' '55599     ' '67575     '
 '55232*****' '67592*****' '55239*****' '55578*****' '67578*****'
 '55597*****' '67598*****' '67599*****' '67580*****' '67591*****'
 '67294*****' '67582*****' '67590     ' '67574     ' '55291*****'
 '55286     ' '55597     ' '55599*****' '67317*****' '67098*****'
 '67271*****' '67281*****' '67273*****' '67278*****' '67316*****'
 '67146*****' '67246*****' '67280*****' '67158*****' '67471*****'
 '67167*****' '67472*****' '67147*****' '67468*****' '67251*****'
 '67159*****' '67229*****' '67161*****' '67269     ' '67454     '
 '67310*****' '67169*****' '67466     ' '67473*****' '67149*****'
 '67150*****' '67283*****' '67152*****' '67311*****' '67157*****'
 '67319*****' '67475*****' '67256*****' '67308*****' '67821*****'
 '67808*****' '67806     ' '67725*****' '67295*****' '67814*****'
 '67811*****' '67816*****' '67304*****' '67822*****' '67724*****'
 '67813*****' '67307     ' '67817*****' '67304     ' '67292*****'
 '67819*****' '67727*****' '67297*****' '67728*****' '67823*****'
 '67305*****' '67729*****' '67681*****' '67744*****' '67759*****'
 '67722     ' '76756*****' '76768*****' '76872*****' '67361*****'
 '76726     ' '76767     ' '76770*****' '76771*****' '76751     '
 '76870     ' '76879*****' '76773*****' '76774*****' '67360     '
 '67363*****' '76776*****' '76777*****' '76764*****' '76761     '
 '76779*****' '67365*****' '76744*****' '67366*****' '67368*****'
 '67378*****' '66851*****' '66892     ' '67677     ' '67685     '
 '67693*****' '67737*****' '66894*****' '67699*****' '67732*****'
 '67691*****' '66882*****' '67734*****' '66862*****' '66879*****'
 '67706*****' '66849     ' '67686*****' '67735*****' '67678*****'
 '67680*****' '67700*****' '67731*****' '67697     ' '66877*****'
 '67688*****' '67701*****' '67705*****' '67707*****' '67742     '
 '66871*****' '66885*****' '66903*****' '67753*****' '66869     '
 '66904*****' '66887*****' '66916*****' '67754*****' '66907*****'
 '67745*****' '66909*****' '67756*****' '67757*****' '67746*****'
 '67749*****' '67752*****' '67748*****' '66901     ' '66914*****'
 '76857*****' '67482*****' '76887     ' '76889*****' '76831*****'
 '76833*****' '76835*****' '67480     ' '67483*****' '67377*****'
 '76863     ' '76865*****' '67489*****' '76829     ' '67487     '
 '76877     ' '76855*****' '67122*****' '67259*****' '67134*****'
 '67240     ' '67459     ' '67125     ' '67373     ' '67136*****'
 '67374*****' '67376*****' '67258*****' '67126*****' '67245*****'
 '67117     ' '67133     ' '67112     ' '67141*****' '67166*****'
 '67127*****' '67354*****' '67105     ' '67165     ' '55437*****'
 '55459*****' '55422*****' '55576     ' '55411     ' '55294     '
 '55270*****' '55257     ' '55278*****' '55276     ' '55435     '
 '55296*****' '55457*****' '67583*****' '67586*****' '55218*****'
 '55413*****' '55424*****' '55299*****' '55268     ' '55283*****'
 '55271*****' '55425*****' '67587*****' '67585*****' '76891*****'
 '66978*****' '66994     ' '76848*****' '66957*****' '66996*****'
 '67715*****' '76846     ' '67716*****' '66919*****' '66999*****'
 '66989*****' '66969*****' '66981*****' '66976     ' '67718*****'
 '66987     ' '67714     ' '66484*****' '66917*****' '66504*****'
 '66497*****' '66503*****' '66501*****' '66500*****' '66506*****'
 '66507*****' '66509*****']",11,[2727 2719 2724 2726 2731 2735 2741 2744 2708 2706 2723],19,"[31025 32015 33045 31045 23045 31055 34025 31065 23075 34035 23015 31035
 31015 32055 33025 33035 34015 32035 23025]",20,"[23052 15012 43012 23012 27012 43252 15272 23132 27212 15292 27052 43272
 15052 15212 43172 43212 15132 15092 27092 15232]",7,[ 6  8 10  4  7  9  5]
19,081000000000,Baden-Württemberg,08,1,8.0,343,1.0,343,22.86,343,3979.06,343,46.58,343,343,1055684,2222.0,3077.8,4226394,5796.0,12321.85,2107144,2951.0,6143.28,341,"['70173*****' '71134     ' '71155     ' '71032*****' '71149     '
 '75392     ' '71139     ' '71116     ' '71126     ' '71083     '
 '71157     ' '71088     ' '71229     ' '71106*****' '71159     '
 '71154     ' '71272     ' '71277     ' '71101     ' '71063*****'
 '71144     ' '71111     ' '71263     ' '71093*****' '71287     '
 '71131     ' '71120     ' '73776     ' '72655     ' '72657     '
 '73666     ' '72658     ' '72660     ' '73266     ' '73779     '
 '73770     ' '73265     ' '73268     ' '73728*****' '72636     '
 '72663     ' '73269     ' '73271     ' '73230     ' '73257     '
 '72664     ' '73669     ' '72666     ' '72654     ' '73272     '
 '72639     ' '73765     ' '73274     ' '72622     ' '72644     '
 '73275     ' '73277     ' '73207     ' '73262     ' '72667     '
 '72669     ' '73235     ' '73240     ' '73249     ' '72649     '
 '73773     ' '70794*****' '70771*****' '73252*****' '73760     '
 '72631     ' '73099     ' '73101     ' '73095     ' '73342*****'
 '73337     ' '73102*****' '89558*****' '73104     ' '73087     '
 '73326*****' '73072     ' '73345*****' '73105     ' '73061     '
 '73054     ' '73107*****' '73108     ' '73312     ' '73333     '
 '73033*****' '73344*****' '73110     ' '73092*****' '73345     '
 '73329     ' '73347*****' '73113*****' '73098     ' '73084*****'
 '73114     ' '73278     ' '73079*****' '73066     ' '73116*****'
 '73117     ' '73349     ' '73119*****' '73111     ' '71563*****'
 '71679     ' '71726     ' '74354     ' '74357     ' '71254     '
 '71735     ' '71729     ' '74391     ' '74392     ' '74376     '
 '70839     ' '71723     ' '71282     ' '74394     ' '74366     '
 '70806     ' '74369     ' '71638*****' '71672*****' '71706     '
 '71696     ' '74395     ' '71711     ' '71739     ' '71720     '
 '74385     ' '71701*****' '74372     ' '71732     ' '71665     '
 '74399     ' '74343     ' '74379     ' '71691     ' '74321     '
 '70825     ' '71686*****' '73553*****' '71573     ' '71566     '
 '71549     ' '71522*****' '71576     ' '70734*****' '71577*****'
 '73667*****' '71737     ' '71404     ' '71397     ' '71540     '
 '71570*****' '73655*****' '73635     ' '73614     ' '71409     '
 '71579     ' '71560     ' '73660*****' '71332*****' '71554     '
 '73642*****' '71364     ' '73650     ' '71546*****' '73663     '
 '73630     ' '71384     ' '71394     ' '74072*****' '74232     '
 '74177     ' '74906     ' '74206     ' '71717*****' '74336*****'
 '74389     ' '74246     ' '74248     ' '75031     ' '74235     '
 '74223     ' '75050     ' '74363     ' '74831     ' '74360     '
 '74930     ' '74249     ' '74912     ' '74348     ' '74251     '
 '74211     ' '74245     ' '74252     ' '74219     ' '74172     '
 '74382*****' '74861     ' '74196     ' '74226     ' '74229*****'
 '74254     ' '74397     ' '74255     ' '74193     ' '74936     '
 '74388     ' '74257     ' '74199     ' '74189     ' '74259     '
 '71543*****' '74374     ' '74182     ' '74239*****' '74243     '
 '74626     ' '74677     ' '74670*****' '74653     ' '74238     '
 '74635     ' '74673     ' '74632     ' '74676     ' '74613*****'
 '74629     ' '74214     ' '74638*****' '74679     ' '74639     '
 '74572     ' '74542*****' '74424     ' '74426     ' '74564*****'
 '74427*****' '74405     ' '74582*****' '74532     ' '74592     '
 '74595     ' '74535*****' '74544*****' '74545     ' '74420     '
 '74423     ' '74585     ' '74589*****' '74575     ' '74523     '
 '74429     ' '74547     ' '74541     ' '74599     ' '74549*****'
 '74538     ' '74594     ' '74579     ' '74586     ' '74597*****'
 '97959     ' '97980     ' '97944     ' '97993*****' '97896     '
 '97950     ' '97947     ' '97999*****' '97953     ' '97900     '
 '97996*****' '97941     ' '97990     ' '97956     ' '97877     '
 '97957     ' '74744     ' '97922     ' '89561*****' '89547     '
 '89537*****' '89522*****' '89542*****' '89568*****' '89551     '
 '89564     ' '89168     ' '89567     ' '89555*****' '73453     '
 '73486*****' '73566     ' '73560     ' '73441     ' '73568*****'
 '73488     ' '73479     ' '73569     ' '73457*****' '73571*****'
 '74417     ' '73540     ' '73572     ' '73460*****' '73574     '
 '73489*****' '73467*****' '73466     ' '73575     ' '73547     '
 '73563     ' '73557     ' '73450*****' '73491*****' '73569*****'
 '73447     ' '73494     ' '73577     ' '73579     ' '73525*****'
 '73565*****' '73495     ' '73527     ' '73497*****' '73485     '
 '73550*****' '73463     ' '73499     ' '73469     ' '73430*****'
 '73492     ']",23,"[2893 2856 2870 2897 2859 2874 2869 2863 2862 2871 2855 2882 2851 2890
 2865 2876 2857 2884 2880 2852 2864 2850 2883]",30,"[26106 26026 26056 26036 26076 26046 28036 28026 23056 26066 23016 23096
 26086 26016 26116 23036 23026 23076 23046 21066 23086 21036 21026 17066
 17076 21056 21016 21046 21086 21076]",27,"[77012 77052 77132 77172 21052 21172 21132 21152 21012 21092 41012 41092
 71092 71052 71012 27012 74172 74092 74012 74272 74192 74252 11132 11012
 11172 11052 11092]",13,"[58259    60    62    65    61    63    66    64    69    67    68    76
    70]"
