,ARS,BL_name,ADE2,ADE3,ADE4,ADE2_LAND,ADE2_LAND,ADE3_REG_BEZ,ADE3_REG_BEZ,ADE4_KREIS,ADE4_KREIS,ADE5_VERB_GEM,ADE5_VERB_GEM,ADE6_GEMEINDE,ADE6_GEMEINDE,EF1_Satzart,Fläche in ha,Fläche in ha,Fläche in ha,"Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, insgesamt","Bevölkerung, männlich","Bevölkerung, männlich","Bevölkerung, männlich",Neue Postleitzahl,Neue Postleitzahl,Finanzamtsbezirk,Finanzamtsbezirk,Gerichtsbarkeit,Gerichtsbarkeit,Arbeitsagenturbezirk,Arbeitsagenturbezirk,Bundestagswahlkreise,Bundestagswahlkreise
,,,,,,mean,count,mean,count,mean,count,mean,count,mean,count,count,sum,median,mean,sum,median,mean,sum,median,mean,nunique,unique,nunique,unique,nunique,unique,nunique,unique,nunique,unique
10,010580000000,Schleswig-Holstein,01,0,58,1.0,165,0.0,165,58.0,165,5661.67,165,89.8,165,165,218975,1072.0,1327.12,279864,690.0,1696.15,137946,351.0,836.04,81,"['24239     ' '24791*****' '24340     ' '24161     ' '24634     '
 '24358     ' '24613     ' '24806     ' '24793     ' '24360*****'
 '25557*****' '25557     ' '25575*****' '24582     ' '24241     '
 '24220     ' '24802     ' '24589     ' '24794     ' '24796     '
 '24797     ' '24811     ' '24816     ' '24398     ' '24782     '
 '24794*****' '24799     ' '24229     ' '24361     ' '24351*****'
 '24647     ' '24800     ' '24819     ' '24242     ' '24244*****'
 '24357     ' '24787     ' '24340*****' '24214     ' '24622     '
 '24594     ' '24361*****' '24805     ' '24790     ' '24797*****'
 '24363*****' '24364*****' '24358*****' '24808     ' '24354     '
 '24644     ' '24119     ' '24631     ' '24366     ' '25585     '
 '24109     ' '24247     ' '24113     ' '24625     ' '24214*****'
 '24819*****' '24809     ' '24251     ' '24367     ' '24783     '
 '25590     ' '24107     ' '24811*****' '24790*****' '24768     '
 '24782*****' '24254     ' '24813*****' '24814     ' '25585*****'
 '24351     ' '24369     ' '24646     ' '24647*****' '24259     '
 '24784*****']",4,[2120 2128 2112 2124],4,[15171 15241 15141 15191],4,[39250 39210 39230 39010],2,[4 5]
11,010590000000,Schleswig-Holstein,01,0,59,1.0,123,0.0,123,59.0,123,5725.34,123,100.3,123,123,207133,1421.0,1684.01,206385,838.0,1677.93,101821,420.0,827.81,75,"['24848     ' '24399     ' '24861     ' '24401*****' '24860     '
 '24863*****' '24855     ' '24857     ' '24866     ' '24867     '
 '24869     ' '24870     ' '24803     ' '24884     ' '24376*****'
 '24872*****' '24873     ' '24876     ' '24850     ' '24879     '
 '24878     ' '24848*****' '24888*****' '24878*****' '24799*****'
 '24405*****' '24392     ' '24407     ' '24407*****' '24405     '
 '24392*****' '24882     ' '24837     ' '24891     ' '24850*****'
 '24887     ' '24888     ' '24890     ' '24893     ' '24817*****'
 '24894     ' '24896     ' '24860*****' '24897*****' '24899     '
 '24881     ' '24996     ' '24975     ' '24994     ' '24989     '
 '24852     ' '24402     ' '24395     ' '24960     ' '24969     '
 '24991     ' '24977     ' '24955     ' '24376     ' '24980     '
 '24992     ' '24963     ' '24404*****' '24885     ' '24966     '
 '24852*****' '24972     ' '24409     ' '24997     ' '24999     '
 '24983*****' '24988     ' '24986     ' '25879     ' '24864     ']",2,[2129 2115],2,[11191 11121],3,[19170 19090 19010],1,[1]
12,010600000000,Schleswig-Holstein,01,0,60,1.0,96,0.0,96,60.0,96,4726.79,96,51.06,96,96,134446,1046.0,1400.48,287175,846.0,2991.41,142076,426.5,1479.96,47,"['25486     ' '24616     ' '24576     ' '23795     ' '23845     '
 '23826     ' '23816     ' '23813     ' '24598     ' '24619     '
 '24635     ' '23824     ' '25479     ' '25563     ' '24649     '
 '23815     ' '23719*****' '24610     ' '24623     ' '24626     '
 '24628     ' '24640     ' '24632     ' '24598*****' '24558     '
 '24641     ' '24568     ' '24568*****' '23863     ' '24629     '
 '23827     ' '23829     ' '24632*****' '23866     ' '23818     '
 '22846*****' '23820*****' '23821     ' '24638     ' '23823*****'
 '24326     ' '24643     ' '23867*****' '23812     ' '24576*****'
 '23795*****' '24649*****']",2,[2111 2124],4,[15261 15191 15121  1512],4,[15290 15270     0 15150],3,[8 3 6]
13,010610000000,Schleswig-Holstein,01,0,61,1.0,111,0.0,111,61.0,111,5018.23,111,59.65,111,111,105570,749.0,951.08,133072,402.0,1198.85,65749,199.0,592.33,39,"['25560*****' '25572     ' '25560     ' '25335     ' '25548     '
 '25569     ' '25573     ' '25554     ' '25524     ' '25584     '
 '25348     ' '25596     ' '25376     ' '25597     ' '25576*****'
 '24616     ' '25593     ' '25578     ' '25554*****' '25582     '
 '25361     ' '25579     ' '25581     ' '25379     ' '25563     '
 '25358     ' '25551     ' '25588     ' '25368     ' '25376*****'
 '25566     ' '25587     ' '25594     ' '25591     ' '25358*****'
 '25594*****' '25599     ' '24613     ' '25377     ']",1,[2118],1,[13151],1,[27210],1,[3]
14,010620000000,Schleswig-Holstein,01,0,62,1.0,55,0.0,55,62.0,55,4199.02,55,47.05,55,55,76625,1194.0,1393.18,248267,1575.0,4513.95,120986,775.0,2199.75,28,"['22926     ' '23619     ' '23843     ' '23863     ' '22941     '
 '23858     ' '22885     ' '22145     ' '23869     ' '21509     '
 '23845     ' '22946     ' '22956     ' '22927     ' '22929     '
 '22955*****' '23860     ' '22952     ' '23847     ' '22113     '
 '21465*****' '22962     ' '22889*****' '22965     ' '22967     '
 '22969     ' '22949     ' '22964     ']",1,[2130],4,[17111 17211 17261 15261],3,[11050 11010 11170],3,[10  9  8]
15,020000000000,Hamburg,02,0,00,2.0,1,0.0,1,0.0,1,0.0,1,0.0,1,1,75509,75509.0,75509.0,1910160,1910160.0,1910160.0,936740,936740.0,936740.0,1,['20038*****'],1,[2202],1,[11001],1,[23010],1,[18023]
16,031010000000,Niedersachsen,03,1,01,3.0,1,1.0,1,1.0,1,0.0,1,0.0,1,1,19270,19270.0,19270.0,252066,252066.0,252066.0,124898,124898.0,124898.0,1,['38100*****'],1,[2314],1,[11032],1,[11010],1,[50]
17,031020000000,Niedersachsen,03,1,02,3.0,1,1.0,1,2.0,1,0.0,1,0.0,1,1,22449,22449.0,22449.0,105039,105039.0,105039.0,52386,52386.0,52386.0,1,['38226*****'],1,[2351],1,[11082],1,[11090],1,[49]
18,031030000000,Niedersachsen,03,1,03,3.0,1,1.0,1,3.0,1,0.0,1,0.0,1,1,20462,20462.0,20462.0,127256,127256.0,127256.0,63352,63352.0,63352.0,1,['38440*****'],1,[2319],1,[11172],1,[41170],1,[51]
19,031510000000,Niedersachsen,03,1,51,3.0,42,1.0,42,51.0,42,5117.24,42,32.43,42,42,156757,2619.5,3732.31,180679,2122.5,4301.88,90014,1074.0,2143.19,40,"['38528     ' '38476     ' '38467     ' '38556     ' '38465     '
 '38547     ' '29386     ' '38468     ' '38518*****' '29393     '
 '38543     ' '38550     ' '38477     ' '38542     ' '38527     '
 '38536     ' '38539     ' '38557     ' '38470     ' '38551     '
 '38531     ' '38471     ' '38524     ' '29396     ' '38179     '
 '29365     ' '29367     ' '38479     ' '38473     ' '38474     '
 '29369     ' '38533*****' '38559     ' '29399     ' '38553     '
 '29392     ' '38554     ' '29378*****' '38530     ' '          ']",1,[2319],3,[24072 11172  1117],2,[41050     0],2,[45 51]
