,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
2629,13,Mecklenburg-Vorpommern,74,26,10354,52.38,197.67
2630,13,Mecklenburg-Vorpommern,74,35,2523,36.34,69.43
2631,13,Mecklenburg-Vorpommern,74,87,42764,41.72,1025.02
2632,13,Mecklenburg-Vorpommern,74,5451,14002,217.32,64.43
2633,13,Mecklenburg-Vorpommern,74,5452,9797,222.43,44.05
2634,13,Mecklenburg-Vorpommern,74,5453,8467,208.85,40.54
2635,13,Mecklenburg-Vorpommern,74,5454,10516,204.53,51.42
2636,13,Mecklenburg-Vorpommern,74,5455,13317,276.54,48.16
2637,13,Mecklenburg-Vorpommern,74,5456,6414,136.1,47.13
2638,13,Mecklenburg-Vorpommern,74,5457,10859,245.67000000000002,44.2
2639,13,Mecklenburg-Vorpommern,74,5458,9569,222.04000000000002,43.1
2640,13,Mecklenburg-Vorpommern,74,5459,17921,263.14,68.1
2641,13,Mecklenburg-Vorpommern,75,5,11864,56.68,209.32
2642,13,Mecklenburg-Vorpommern,75,39,55617,50.81,1094.61
2643,13,Mecklenburg-Vorpommern,75,49,5991,37.81,158.45
2644,13,Mecklenburg-Vorpommern,75,105,9714,55.21,175.95
2645,13,Mecklenburg-Vorpommern,75,130,4359,87.48,49.83
2646,13,Mecklenburg-Vorpommern,75,136,8794,85.87,102.41
2647,13,Mecklenburg-Vorpommern,75,5551,13950,181.6,76.82
2648,13,Mecklenburg-Vorpommern,75,5552,10342,431.24,23.98
2649,13,Mecklenburg-Vorpommern,75,5553,9249,532.87,17.36
2650,13,Mecklenburg-Vorpommern,75,5554,6606,172.66,38.26
2651,13,Mecklenburg-Vorpommern,75,5555,10692,208.92000000000002,51.18
2652,13,Mecklenburg-Vorpommern,75,5556,10543,430.06,24.52
2653,13,Mecklenburg-Vorpommern,75,5557,10469,202.4,51.72
2654,13,Mecklenburg-Vorpommern,75,5558,5954,170.46,34.93
2655,13,Mecklenburg-Vorpommern,75,5559,13759,262.13,52.49
2656,13,Mecklenburg-Vorpommern,75,5560,6795,290.53000000000003,23.39
2657,13,Mecklenburg-Vorpommern,75,5561,8372,61.64,135.82
2658,13,Mecklenburg-Vorpommern,75,5562,10993,235.05,46.77
2659,13,Mecklenburg-Vorpommern,75,5563,11406,392.25,29.08
2660,13,Mecklenburg-Vorpommern,76,14,11009,47.42,232.16
2661,13,Mecklenburg-Vorpommern,76,60,11855,67.54,175.53
2662,13,Mecklenburg-Vorpommern,76,88,4639,120.16,38.61
2663,13,Mecklenburg-Vorpommern,76,90,11845,78.64,150.62
2664,13,Mecklenburg-Vorpommern,76,108,17814,124.81,142.73
2665,13,Mecklenburg-Vorpommern,76,5652,6938,258.45,26.84
