,EF1_Satzart,EF2_Gebietstand,EF3_ARS,EF4_Verband,EF5_Verbandsbezeichnung,EF6_Sitz_des_Verbandes,EF7_Schlüsselfelder,EF8_Leer,EF9_Frei für landesinterne Angaben,BL_nr,BL_name
1,40,20241031,01001,,"Flensburg, Stadt",Flensburg,41.0,,,1,Schleswig-Holstein
4,40,20241031,01002,,"Kiel, Landeshauptstadt",Kiel,41.0,,,1,Schleswig-Holstein
7,40,20241031,01003,,"Lübeck, Hansestadt",Lübeck,41.0,,,1,Schleswig-Holstein
10,40,20241031,01004,,"Neumünster, Stadt",Neumünster,41.0,,,1,Schleswig-Holstein
13,40,20241031,01051,,Dithmarschen,Heide,43.0,,,1,Schleswig-Holstein
138,40,20241031,01053,,Herzogtum Lauenburg,Ratzeburg,43.0,,,1,Schleswig-Holstein
287,40,20241031,01054,,Nordfriesland,Husum,43.0,,,1,Schleswig-Holstein
434,40,20241031,01055,,Ostholstein,Eutin,43.0,,,1,Schleswig-Holstein
492,40,20241031,01056,,Pinneberg,Elmshorn,43.0,,,1,Schleswig-Holstein
560,40,20241031,01057,,Plön,Plön,43.0,,,1,Schleswig-Holstein
659,40,20241031,01058,,Rendsburg-Eckernförde,Rendsburg,43.0,,,1,Schleswig-Holstein
844,40,20241031,01059,,Schleswig-Flensburg,Schleswig,43.0,,,1,Schleswig-Holstein
986,40,20241031,01060,,Segeberg,Bad Segeberg,43.0,,,1,Schleswig-Holstein
1099,40,20241031,01061,,Steinburg,Itzehoe,43.0,,,1,Schleswig-Holstein
1221,40,20241031,01062,,Stormarn,Bad Oldesloe,43.0,,,1,Schleswig-Holstein
1294,40,20241031,02000,,"Hamburg, Freie und Hansestadt",Hamburg,41.0,,,2,Hamburg
1299,40,20241031,03101,,"Braunschweig, Stadt",Braunschweig,41.0,,,3,Niedersachsen
1302,40,20241031,03102,,"Salzgitter, Stadt",Salzgitter,41.0,,,3,Niedersachsen
1305,40,20241031,03103,,"Wolfsburg, Stadt",Wolfsburg,41.0,,,3,Niedersachsen
1308,40,20241031,03151,,Gifhorn,Gifhorn,44.0,,,3,Niedersachsen
1362,40,20241031,03153,,Goslar,Goslar,44.0,,,3,Niedersachsen
1379,40,20241031,03154,,Helmstedt,Helmstedt,44.0,,,3,Niedersachsen
1421,40,20241031,03155,,Northeim,Northeim,44.0,,,3,Niedersachsen
1446,40,20241031,03157,,Peine,Peine,44.0,,,3,Niedersachsen
1461,40,20241031,03158,,Wolfenbüttel,Wolfenbüttel,44.0,,,3,Niedersachsen
1507,40,20241031,03159,,Göttingen,Göttingen,44.0,,,3,Niedersachsen
1569,40,20241031,03241,,Region Hannover,Hannover,44.0,,,3,Niedersachsen
1612,40,20241031,03251,,Diepholz,Diepholz,44.0,,,3,Niedersachsen
1673,40,20241031,03252,,Hameln-Pyrmont,Hameln,44.0,,,3,Niedersachsen
1690,40,20241031,03254,,Hildesheim,Hildesheim,44.0,,,3,Niedersachsen
1729,40,20241031,03255,,Holzminden,Holzminden,44.0,,,3,Niedersachsen
1782,40,20241031,03256,,Nienburg (Weser),Nienburg (Weser),44.0,,,3,Niedersachsen
1828,40,20241031,03257,,Schaumburg,Stadthagen,44.0,,,3,Niedersachsen
1880,40,20241031,03351,,Celle,Celle,44.0,,,3,Niedersachsen
1914,40,20241031,03352,,Cuxhaven,Cuxhaven,44.0,,,3,Niedersachsen
1954,40,20241031,03353,,Harburg,Winsen/Luhe,44.0,,,3,Niedersachsen
2009,40,20241031,03354,,Lüchow-Dannenberg,"Lüchow, Wendland",44.0,,,3,Niedersachsen
2044,40,20241031,03355,,Lüneburg,Lüneburg,44.0,,,3,Niedersachsen
2099,40,20241031,03356,,Osterholz,Osterholz-Scharmbeck,44.0,,,3,Niedersachsen
2118,40,20241031,03357,,Rotenburg (Wümme),Rotenburg/Wümme,44.0,,,3,Niedersachsen
2189,40,20241031,03358,,Heidekreis,Bad Fallingbostel,44.0,,,3,Niedersachsen
2225,40,20241031,03359,,Stade,Stade,44.0,,,3,Niedersachsen
2277,40,20241031,03360,,Uelzen,Uelzen,44.0,,,3,Niedersachsen
2311,40,20241031,03361,,Verden,Verden (Aller),44.0,,,3,Niedersachsen
2332,40,20241031,03401,,"Delmenhorst, Stadt",Delmenhorst,41.0,,,3,Niedersachsen
2335,40,20241031,03402,,"Emden, Stadt",Emden/Ostfriesland,41.0,,,3,Niedersachsen
2338,40,20241031,03403,,"Oldenburg (Oldenburg), Stadt",Oldenburg/Oldenburg,41.0,,,3,Niedersachsen
2341,40,20241031,03404,,"Osnabrück, Stadt",Osnabrück,41.0,,,3,Niedersachsen
2344,40,20241031,03405,,"Wilhelmshaven, Stadt",Wilhelmshaven,41.0,,,3,Niedersachsen
2347,40,20241031,03451,,Ammerland,Westerstede,44.0,,,3,Niedersachsen
2360,40,20241031,03452,,Aurich,Aurich,44.0,,,3,Niedersachsen
2402,40,20241031,03453,,Cloppenburg,Cloppenburg,44.0,,,3,Niedersachsen
2429,40,20241031,03454,,Emsland,Meppen,44.0,,,3,Niedersachsen
2509,40,20241031,03455,,Friesland,Jever,44.0,,,3,Niedersachsen
2526,40,20241031,03456,,Grafschaft Bentheim,Nordhorn,44.0,,,3,Niedersachsen
2559,40,20241031,03457,,Leer,Leer/Ostfriesland,44.0,,,3,Niedersachsen
2593,40,20241031,03458,,Oldenburg,Wildeshausen,44.0,,,3,Niedersachsen
2617,40,20241031,03459,,Osnabrück,Osnabrück,44.0,,,3,Niedersachsen
2673,40,20241031,03460,,Vechta,Vechta,44.0,,,3,Niedersachsen
2694,40,20241031,03461,,Wesermarsch,Brake/Unterweser,44.0,,,3,Niedersachsen
2713,40,20241031,03462,,Wittmund,Wittmund,44.0,,,3,Niedersachsen
2740,40,20241031,04011,,"Bremen, Stadt",Bremen,41.0,,,4,Bremen
2743,40,20241031,04012,,"Bremerhaven, Stadt",Bremerhaven,41.0,,,4,Bremen
