,EF1_Satzart,EF2_Gebietstand,EF3_ARS,EF4_Verband,EF5_Verbandsbezeichnung,EF6_Sitz_des_Verbandes,EF7_Schlüsselfelder,EF8_Leer,EF9_Frei für landesinterne Angaben,BL_nr,BL_name
2,50,20241031,01001,0.0,"Flensburg, Stadt",,50.0,,,1,Schleswig-Holstein
5,50,20241031,01002,0.0,"Kiel, Landeshauptstadt",,50.0,,,1,Schleswig-Holstein
8,50,20241031,01003,0.0,"Lübeck, Hansestadt",,50.0,,,1,Schleswig-Holstein
11,50,20241031,01004,0.0,"Neumünster, Stadt",,50.0,,,1,Schleswig-Holstein
14,50,20241031,01051,11.0,"Brunsbüttel, Stadt",,50.0,,,1,Schleswig-Holstein
15,50,20241031,01051,44.0,"Heide, Stadt",,50.0,,,1,Schleswig-Holstein
16,50,20241031,01051,5163.0,Burg-St. Michaelisdonn,Burg (Dithm.),51.0,,,1,Schleswig-Holstein
17,50,20241031,01051,5166.0,Marne-Nordsee,Marne,51.0,,,1,Schleswig-Holstein
18,50,20241031,01051,5169.0,Eider,Hennstedt,55.0,,,1,Schleswig-Holstein
19,50,20241031,01051,5172.0,Heider Umland,Heide,55.0,,,1,Schleswig-Holstein
20,50,20241031,01051,5175.0,Mitteldithmarschen,Meldorf,51.0,,,1,Schleswig-Holstein
21,50,20241031,01051,5178.0,Büsum-Wesselburen,Büsum,51.0,,,1,Schleswig-Holstein
139,50,20241031,01053,32.0,"Geesthacht, Stadt",,50.0,,,1,Schleswig-Holstein
140,50,20241031,01053,83.0,"Lauenburg/ Elbe, Stadt",,50.0,,,1,Schleswig-Holstein
141,50,20241031,01053,90.0,"Mölln, Stadt",,50.0,,,1,Schleswig-Holstein
142,50,20241031,01053,100.0,"Ratzeburg, Stadt",,50.0,,,1,Schleswig-Holstein
143,50,20241031,01053,116.0,"Schwarzenbek, Stadt",,50.0,,,1,Schleswig-Holstein
144,50,20241031,01053,129.0,Wentorf bei Hamburg,,50.0,,,1,Schleswig-Holstein
145,50,20241031,01053,5308.0,Berkenthin,Berkenthin,51.0,,,1,Schleswig-Holstein
146,50,20241031,01053,5313.0,Breitenfelde,Mölln,51.0,,,1,Schleswig-Holstein
147,50,20241031,01053,5318.0,Büchen,Büchen,51.0,,,1,Schleswig-Holstein
148,50,20241031,01053,5323.0,Hohe Elbgeest,Dassendorf,51.0,,,1,Schleswig-Holstein
149,50,20241031,01053,5343.0,Lütau,Lauenburg/Elbe,51.0,,,1,Schleswig-Holstein
150,50,20241031,01053,5358.0,Lauenburgische Seen,Ratzeburg,51.0,,,1,Schleswig-Holstein
151,50,20241031,01053,5373.0,Schwarzenbek-Land,Schwarzenbek,51.0,,,1,Schleswig-Holstein
152,50,20241031,01053,5391.0,Sandesneben-Nusse,Sandesneben,51.0,,,1,Schleswig-Holstein
153,50,20241031,01053,9105.0,"Sachsenwald (Forstgutsbez.),gemfr.Geb.",,50.0,,,1,Schleswig-Holstein
288,50,20241031,01054,33.0,"Friedrichstadt, Stadt",Friedrichstadt,50.0,,,1,Schleswig-Holstein
289,50,20241031,01054,56.0,"Husum, Stadt",,50.0,,,1,Schleswig-Holstein
290,50,20241031,01054,108.0,Reußenköge,,50.0,,,1,Schleswig-Holstein
291,50,20241031,01054,138.0,"Tönning, Stadt",,50.0,,,1,Schleswig-Holstein
292,50,20241031,01054,168.0,Sylt,,50.0,,,1,Schleswig-Holstein
293,50,20241031,01054,5417.0,Eiderstedt,Garding,51.0,,,1,Schleswig-Holstein
294,50,20241031,01054,5439.0,Landschaft Sylt,Sylt/Westerland,51.0,,,1,Schleswig-Holstein
295,50,20241031,01054,5453.0,Viöl,Viöl,51.0,,,1,Schleswig-Holstein
296,50,20241031,01054,5459.0,Pellworm,Husum,51.0,,,1,Schleswig-Holstein
297,50,20241031,01054,5488.0,Föhr-Amrum,Wyk auf Föhr,51.0,,,1,Schleswig-Holstein
298,50,20241031,01054,5489.0,Südtondern,Niebüll,51.0,,,1,Schleswig-Holstein
299,50,20241031,01054,5492.0,Nordsee-Treene,Mildstedt,51.0,,,1,Schleswig-Holstein
300,50,20241031,01054,5494.0,Mittleres Nordfriesland,Bredstedt,51.0,,,1,Schleswig-Holstein
435,50,20241031,01055,1.0,Ahrensbök,,50.0,,,1,Schleswig-Holstein
436,50,20241031,01055,4.0,"Bad Schwartau, Stadt",,50.0,,,1,Schleswig-Holstein
437,50,20241031,01055,7.0,Bosau,,50.0,,,1,Schleswig-Holstein
438,50,20241031,01055,10.0,Dahme,,50.0,,,1,Schleswig-Holstein
439,50,20241031,01055,12.0,"Eutin, Stadt",,50.0,,,1,Schleswig-Holstein
440,50,20241031,01055,16.0,Grömitz,,50.0,,,1,Schleswig-Holstein
441,50,20241031,01055,18.0,Grube,,50.0,,,1,Schleswig-Holstein
442,50,20241031,01055,21.0,"Heiligenhafen, Stadt",,50.0,,,1,Schleswig-Holstein
443,50,20241031,01055,25.0,Kellenhusen (Ostsee),,50.0,,,1,Schleswig-Holstein
444,50,20241031,01055,28.0,Malente,,50.0,,,1,Schleswig-Holstein
445,50,20241031,01055,32.0,"Neustadt in Holstein, Stadt",,50.0,,,1,Schleswig-Holstein
446,50,20241031,01055,33.0,"Oldenburg in Holstein, Stadt",,50.0,,,1,Schleswig-Holstein
447,50,20241031,01055,35.0,Ratekau,,50.0,,,1,Schleswig-Holstein
448,50,20241031,01055,40.0,Stockelsdorf,,50.0,,,1,Schleswig-Holstein
449,50,20241031,01055,41.0,Süsel,,50.0,,,1,Schleswig-Holstein
450,50,20241031,01055,42.0,Timmendorfer Strand,,50.0,,,1,Schleswig-Holstein
451,50,20241031,01055,44.0,Scharbeutz,,50.0,,,1,Schleswig-Holstein
452,50,20241031,01055,46.0,"Fehmarn, Stadt",,50.0,,,1,Schleswig-Holstein
453,50,20241031,01055,5543.0,Oldenburg-Land,Oldenburg in Holstein,51.0,,,1,Schleswig-Holstein
454,50,20241031,01055,5546.0,Lensahn,Lensahn,51.0,,,1,Schleswig-Holstein
455,50,20241031,01055,5591.0,Ostholstein-Mitte,Schönwalde am Bungsberg,51.0,,,1,Schleswig-Holstein
493,50,20241031,01056,2.0,"Barmstedt, Stadt",,50.0,,,1,Schleswig-Holstein
494,50,20241031,01056,5.0,Bönningstedt,,50.0,,,1,Schleswig-Holstein
495,50,20241031,01056,15.0,"Elmshorn, Stadt",,50.0,,,1,Schleswig-Holstein
496,50,20241031,01056,18.0,Halstenbek,,50.0,,,1,Schleswig-Holstein
497,50,20241031,01056,21.0,Hasloh,,50.0,,,1,Schleswig-Holstein
498,50,20241031,01056,25.0,Helgoland,,50.0,,,1,Schleswig-Holstein
499,50,20241031,01056,39.0,"Pinneberg, Stadt",,50.0,,,1,Schleswig-Holstein
500,50,20241031,01056,41.0,"Quickborn, Stadt",,50.0,,,1,Schleswig-Holstein
501,50,20241031,01056,43.0,Rellingen,,50.0,,,1,Schleswig-Holstein
502,50,20241031,01056,44.0,"Schenefeld, Stadt",,50.0,,,1,Schleswig-Holstein
503,50,20241031,01056,48.0,"Tornesch, Stadt",,50.0,,,1,Schleswig-Holstein
504,50,20241031,01056,49.0,"Uetersen, Stadt",,50.0,,,1,Schleswig-Holstein
505,50,20241031,01056,50.0,"Wedel, Stadt",,50.0,,,1,Schleswig-Holstein
506,50,20241031,01056,5616.0,Elmshorn-Land,Elmshorn,51.0,,,1,Schleswig-Holstein
507,50,20241031,01056,5636.0,Hörnerkirchen,Barmstedt,51.0,,,1,Schleswig-Holstein
508,50,20241031,01056,5660.0,Rantzau,Barmstedt,51.0,,,1,Schleswig-Holstein
509,50,20241031,01056,5687.0,Pinnau,Rellingen,51.0,,,1,Schleswig-Holstein
510,50,20241031,01056,5690.0,Geest und Marsch Südholstein,Heist,51.0,,,1,Schleswig-Holstein
561,50,20241031,01057,1.0,Ascheberg (Holstein),,50.0,,,1,Schleswig-Holstein
562,50,20241031,01057,8.0,Bönebüttel,,50.0,,,1,Schleswig-Holstein
563,50,20241031,01057,9.0,Bösdorf,,50.0,,,1,Schleswig-Holstein
564,50,20241031,01057,57.0,"Plön, Stadt",,50.0,,,1,Schleswig-Holstein
565,50,20241031,01057,62.0,"Preetz, Stadt",,50.0,,,1,Schleswig-Holstein
566,50,20241031,01057,91.0,"Schwentinental, Stadt",,50.0,,,1,Schleswig-Holstein
567,50,20241031,01057,5727.0,Amt Lütjenburg,Lütjenburg,51.0,,,1,Schleswig-Holstein
568,50,20241031,01057,5739.0,Großer Plöner See,Plön,51.0,,,1,Schleswig-Holstein
569,50,20241031,01057,5747.0,Preetz-Land,Schellhorn,51.0,,,1,Schleswig-Holstein
570,50,20241031,01057,5755.0,Probstei,Schönberg,51.0,,,1,Schleswig-Holstein
571,50,20241031,01057,5775.0,Selent/ Schlesen,Selent,51.0,,,1,Schleswig-Holstein
572,50,20241031,01057,5782.0,Schrevenborn,Heikendorf,51.0,,,1,Schleswig-Holstein
573,50,20241031,01057,5785.0,Bokhorst-Wankendorf,Wankendorf,51.0,,,1,Schleswig-Holstein
660,50,20241031,01058,5.0,Altenholz,,50.0,,,1,Schleswig-Holstein
661,50,20241031,01058,34.0,"Büdelsdorf, Stadt",,50.0,,,1,Schleswig-Holstein
662,50,20241031,01058,43.0,"Eckernförde, Stadt",,50.0,,,1,Schleswig-Holstein
663,50,20241031,01058,92.0,Kronshagen,,50.0,,,1,Schleswig-Holstein
664,50,20241031,01058,135.0,"Rendsburg, Stadt",,50.0,,,1,Schleswig-Holstein
665,50,20241031,01058,169.0,Wasbek,,50.0,,,1,Schleswig-Holstein
666,50,20241031,01058,5803.0,Achterwehr,Achterwehr,51.0,,,1,Schleswig-Holstein
667,50,20241031,01058,5822.0,Dänischenhagen,Dänischenhagen,51.0,,,1,Schleswig-Holstein
668,50,20241031,01058,5824.0,Dänischer Wohld,Gettorf,51.0,,,1,Schleswig-Holstein
669,50,20241031,01058,5833.0,Fockbek,Fockbek,51.0,,,1,Schleswig-Holstein
670,50,20241031,01058,5847.0,Hohner Harde,Fockbek,51.0,,,1,Schleswig-Holstein
671,50,20241031,01058,5853.0,Jevenstedt,Jevenstedt,51.0,,,1,Schleswig-Holstein
672,50,20241031,01058,5864.0,Nortorfer  Land,Nortorf,51.0,,,1,Schleswig-Holstein
673,50,20241031,01058,5888.0,Eiderkanal,Osterrönfeld,51.0,,,1,Schleswig-Holstein
674,50,20241031,01058,5889.0,Bordesholm,Bordesholm,51.0,,,1,Schleswig-Holstein
675,50,20241031,01058,5890.0,Hüttener Berge,Groß Wittensee,51.0,,,1,Schleswig-Holstein
676,50,20241031,01058,5893.0,Schlei-Ostsee,Eckernförde,51.0,,,1,Schleswig-Holstein
677,50,20241031,01058,5895.0,Mittelholstein,Hohenwestedt,51.0,,,1,Schleswig-Holstein
678,50,20241031,01058,5896.0,Eidertal,Flintbek,51.0,,,1,Schleswig-Holstein
