Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
;010515178033;Friedrichsgabekoog;52;e;8,62;e;6;e
;010515178043;Hedwigenkoog;218;e;16,36;e;13;e
;010515178045;Hellschen-Heringsand-Unterschaar;164;e;7,02;e;23;e
;010515178050;Hillgroven;57;e;3,60;e;16;e
;010515178079;Norddeich;434;e;6,90;e;63;e
;010515178084;Oesterdeichstrich;310;e;4,64;e;67;e
;010515178093;Reinsbüttel;389;e;6,83;e;57;e
;010515178105;Schülp;369;e;9,27;e;40;e
;010515178108;Strübbel;95;e;4,40;e;22;e
;010515178109;Süderdeich;435;e;6,64;e;66;e
;010515178121;Warwerort;226;e;4,58;e;49;e
;010515178127;Wesselburen, Stadt;3346;e;5,13;e;652;e
;010515178128;Wesselburener Deichhausen;107;e;5,07;e;21;e
;010515178129;Wesselburenerkoog;165;e;21,89;e;8;e
;010515178132;Westerdeichstrich;797;e;7,50;e;106;e
;010515178140;Oesterwurth;241;e;14,19;e;17;e
;010530032032;Geesthacht, Stadt;32343;e;33,25;e;973;e
;010530083083;Lauenburg/ Elbe, Stadt;11395;e;9,56;e;1192;e
;010530090090;Mölln, Stadt;19392;e;25,05;e;774;e
;010530100100;Ratzeburg, Stadt;14873;e;30,29;e;491;e
;010530116116;Schwarzenbek, Stadt;16889;e;11,55;e;1462;e
;010530129129;Wentorf bei Hamburg;13524;e;6,87;e;1969;e
;010535308008;Behlendorf;405;e;10,25;e;40;e
;010535308009;Berkenthin;2171;e;10,34;e;210;e
;010535308011;Bliestorf;631;e;10,35;e;61;e
;010535308024;Düchelsdorf;154;e;3,01;e;51;e
;010535308034;Göldenitz;231;e;5,06;e;46;e
;010535308061;Kastorf;1165;e;6,90;e;169;e
;010535308067;Klempau;597;e;10,07;e;59;e
;010535308075;Krummesse;1629;e;3,35;e;486;e
