,ARS_BL,BL_name,ARS_KREIS,ARS_GEM_VERBAND,BEZ,Personen [Anzahl],Fläche [qkm],Bevölkerungsdichte [Ew/qkm]
677,1,Schleswig-Holstein,58,5893,Gammelby,519,8.34,62.23
678,1,Schleswig-Holstein,58,5893,Goosefeld,724,9.63,75.18
679,1,Schleswig-Holstein,58,5893,Güby,673,11.9,56.55
680,1,Schleswig-Holstein,58,5893,Holzdorf,868,17.35,50.03
681,1,Schleswig-Holstein,58,5893,Hummelfeld,279,7.98,34.96
682,1,Schleswig-Holstein,58,5893,Karby,558,2.09,266.99
683,1,Schleswig-Holstein,58,5893,Kosel,1398,30.0,46.6
684,1,Schleswig-Holstein,58,5893,Loose,853,13.12,65.02
685,1,Schleswig-Holstein,58,5893,Rieseby,2829,38.85,72.82
686,1,Schleswig-Holstein,58,5893,Thumby,357,27.39,13.03
687,1,Schleswig-Holstein,58,5893,Waabs,1474,33.26,44.32
688,1,Schleswig-Holstein,58,5893,Windeby,990,14.77,67.03
689,1,Schleswig-Holstein,58,5893,Winnemark,571,9.58,59.6
690,1,Schleswig-Holstein,58,5895,Arpsdorf,298,12.1,24.63
691,1,Schleswig-Holstein,58,5895,Aukrug,3721,49.9,74.57
692,1,Schleswig-Holstein,58,5895,Beldorf,284,11.96,23.75
693,1,Schleswig-Holstein,58,5895,Bendorf,440,20.47,21.49
694,1,Schleswig-Holstein,58,5895,Beringstedt,730,14.29,51.08
695,1,Schleswig-Holstein,58,5895,Bornholt,181,10.93,16.56
696,1,Schleswig-Holstein,58,5895,Ehndorf,599,14.68,40.8
697,1,Schleswig-Holstein,58,5895,Gokels,596,10.64,56.02
698,1,Schleswig-Holstein,58,5895,Grauel,280,5.74,48.78
699,1,Schleswig-Holstein,58,5895,Hanerau-Hademarschen,2902,14.5,200.14
700,1,Schleswig-Holstein,58,5895,Heinkenborstel,139,7.55,18.41
701,1,Schleswig-Holstein,58,5895,Hohenwestedt,5368,18.18,295.27
702,1,Schleswig-Holstein,58,5895,Jahrsdorf,227,8.87,25.59
703,1,Schleswig-Holstein,58,5895,Lütjenwestedt,550,22.32,24.64
704,1,Schleswig-Holstein,58,5895,Meezen,367,8.76,41.89
705,1,Schleswig-Holstein,58,5895,Mörel,257,8.69,29.57
706,1,Schleswig-Holstein,58,5895,Nienborstel,591,16.48,35.86
707,1,Schleswig-Holstein,58,5895,Nindorf,645,14.03,45.97
708,1,Schleswig-Holstein,58,5895,Oldenbüttel,269,7.97,33.75
709,1,Schleswig-Holstein,58,5895,Osterstedt,660,10.95,60.27
710,1,Schleswig-Holstein,58,5895,Padenstedt,1770,14.6,121.23
711,1,Schleswig-Holstein,58,5895,Rade b. Hohenwestedt,98,3.21,30.53
712,1,Schleswig-Holstein,58,5895,Remmels,441,9.49,46.47
713,1,Schleswig-Holstein,58,5895,Seefeld,329,6.77,48.6
714,1,Schleswig-Holstein,58,5895,Steenfeld,329,11.61,28.34
715,1,Schleswig-Holstein,58,5895,Tackesdorf,70,7.65,9.15
716,1,Schleswig-Holstein,58,5895,Tappendorf,334,6.69,49.93
717,1,Schleswig-Holstein,58,5895,Thaden,241,11.98,20.12
718,1,Schleswig-Holstein,58,5895,Todenbüttel,1058,11.78,89.81
719,1,Schleswig-Holstein,58,5895,Wapelfeld,319,8.11,39.33
720,1,Schleswig-Holstein,59,45,"Kappeln, Stadt",8542,43.33,197.14
721,1,Schleswig-Holstein,59,75,"Schleswig, Stadt",24946,24.3,1026.58
722,1,Schleswig-Holstein,59,113,"Glücksburg (Ostsee), Stadt",6184,39.68,155.85
723,1,Schleswig-Holstein,59,120,Harrislee,11798,18.92,623.57
724,1,Schleswig-Holstein,59,183,Handewitt,11330,77.72,145.78
725,1,Schleswig-Holstein,59,5912,Eggebek,2477,16.68,148.5
