Tabelle: 1000X-0001
Personen: Amtliche Einwohnerzahl und Fläche (Gemeinden);;;;
Bevölkerung kompakt;;;;;;;
09.05.2011;;;;;;;
;;Personen;;Fläche;;Bevölkerungsdichte;
;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
010515178050;Hillgroven;70;e;3,60;e;19;e
010515178079;Norddeich;440;e;6,90;e;64;e
010515178084;Oesterdeichstrich;243;e;4,63;e;52;e
010515178093;Reinsbüttel;443;e;6,83;e;65;e
010515178105;Schülp;471;e;9,27;e;51;e
010515178108;Strübbel;91;e;4,40;e;21;e
010515178109;Süderdeich;474;e;6,64;e;71;e
010515178121;Warwerort;241;e;4,57;e;53;e
010515178127;Wesselburen, Stadt;3043;e;5,14;e;592;e
010515178128;Wesselburener Deichhausen;135;e;5,07;e;27;e
010515178129;Wesselburenerkoog;152;e;21,88;e;7;e
010515178132;Westerdeichstrich;837;e;7,49;e;112;e
010515178140;Oesterwurth;260;e;14,19;e;18;e
010530032032;Geesthacht, Stadt;28755;e;33,19;e;866;e
010530083083;Lauenburg/ Elbe, Stadt;11174;e;9,54;e;1171;e
010530090090;Mölln, Stadt;18398;e;25,05;e;734;e
010530100100;Ratzeburg, Stadt;13613;e;30,29;e;449;e
010530116116;Schwarzenbek, Stadt;14974;e;11,56;e;1295;e
010530129129;Wentorf bei Hamburg;11866;e;6,87;e;1727;e
010535308008;Behlendorf;382;e;10,26;e;37;e
010535308009;Berkenthin;2075;e;10,25;e;202;e
010535308011;Bliestorf;689;e;10,35;e;67;e
010535308024;Düchelsdorf;154;e;3,01;e;51;e
010535308034;Göldenitz;235;e;5,15;e;46;e
010535308061;Kastorf;1169;e;6,90;e;169;e
010535308067;Klempau;623;e;10,07;e;62;e
010535308075;Krummesse;1734;e;3,35;e;518;e
010535308094;Niendorf bei Berkenthin;192;e;3,99;e;48;e
010535308103;Rondeshagen;835;e;9,51;e;88;e
010535308120;Sierksrade;349;e;4,00;e;87;e
